0,0.8,9530.0,16324
0,0.3,8299.0,22556
0,0.5,6686.0,16997
0,0.0,5391.0,143113
1,0.8,6516.0,16272
1,0.3,7524.0,28223
1,0.5,8200.0,18651
1,0.0,5289.0,146693
2,0.8,7921.0,15534
2,0.3,7924.0,23740
2,0.5,7627.0,19100
2,0.0,5438.0,143415
3,0.8,5356.0,37472
3,0.3,8523.0,27627
3,0.5,8486.0,29195
3,0.0,5449.0,146665
4,0.8,8567.0,14596
4,0.3,5746.0,35562
4,0.5,5605.0,16019
4,0.0,5007.0,129920
5,0.8,8324.0,11900
5,0.3,7221.0,20930
5,0.5,6500.0,23099
5,0.0,5311.0,129885
6,0.8,7574.0,31281
6,0.3,6287.0,36063
6,0.5,8773.0,11103
6,0.0,5271.0,128095
7,0.8,5790.0,19617
7,0.3,5885.0,32557
7,0.5,6964.0,14991
7,0.0,4868.0,138823
8,0.8,10255.0,10081
8,0.3,7858.0,55529
8,0.5,8971.0,13977
8,0.0,5427.0,165495
9,0.8,6197.0,26183
9,0.3,8475.0,22860
9,0.5,8335.0,17473
9,0.0,5176.0,159576
10,0.8,8159.0,15396
10,0.3,8527.0,33120
10,0.5,8388.0,13918
10,0.0,4962.0,162130
11,0.8,7370.0,14500
11,0.3,7817.0,42019
11,0.5,8756.0,13871
11,0.0,5231.0,159557
12,0.8,8782.0,13221
12,0.3,8682.0,28021
12,0.5,9625.0,13781
12,0.0,5287.0,164529
13,0.8,8854.0,12402
13,0.3,8820.0,36609
13,0.5,8201.0,32907
13,0.0,5350.0,165039
14,0.8,7072.0,20582
14,0.3,7858.0,26205
14,0.5,8957.0,44931
14,0.0,5168.0,163491
15,0.8,6891.0,22091
15,0.3,8098.0,24057
15,0.5,8020.0,22289
15,0.0,5500.0,157271
16,0.8,9476.0,24666
16,0.3,6166.0,53011
16,0.5,8868.0,12785
16,0.0,5175.0,167969
17,0.8,8236.0,22160
17,0.3,8579.0,30065
17,0.5,7336.0,17129
17,0.0,5069.0,161400
18,0.8,6834.0,15797
18,0.3,8593.0,33695
18,0.5,8873.0,15266
18,0.0,5026.0,169479
19,0.8,7322.0,21311
19,0.3,7434.0,21743
19,0.5,7092.0,33757
19,0.0,5643.0,160417
20,0.8,8525.0,11276
20,0.3,8357.0,32250
20,0.5,6634.0,15851
20,0.0,5369.0,159746
21,0.8,6682.0,21556
21,0.3,8190.0,20106
21,0.5,7289.0,26249
21,0.0,4994.0,163213
22,0.8,5626.0,23474
22,0.3,7230.0,32581
22,0.5,7479.0,21318
22,0.0,5289.0,164531
23,0.8,4514.0,30743
23,0.3,7427.0,33096
23,0.5,6077.0,20785
23,0.0,4695.0,165068
24,0.8,6622.0,21291
24,0.3,7968.0,25221
24,0.5,6831.0,17387
24,0.0,4909.0,150451
25,0.8,9701.0,18986
25,0.3,7378.0,29265
25,0.5,7352.0,18854
25,0.0,5498.0,167268
26,0.8,8489.0,14362
26,0.3,6750.0,39156
26,0.5,7785.0,18505
26,0.0,5063.0,163532
27,0.8,8400.0,15959
27,0.3,8216.0,30212
27,0.5,7377.0,17955
27,0.0,5172.0,163779
28,0.8,9301.0,13361
28,0.3,7602.0,29797
28,0.5,7965.0,30279
28,0.0,5350.0,164633
29,0.8,4857.0,35410
29,0.3,7913.0,34033
29,0.5,8669.0,14033
29,0.0,5219.0,165322
